BUSINESSTYPE,BUSINESSNAME,STREETNUMBER,STREET,STREETTYPE,STREETDIR,UNITTYPE,UNITY,CITY,PROV,POSTAL,OBJECTID
Lunch Counter,TIM HORTONS,4720,TAHOE,BLVD,,,,MISSISSAUGA,ON,L4W 5P2,187
Lunch Counter,TIM HORTONS #6104,7215,GOREWAY,DR,,Unit,14-15 L2,MISSISSAUGA,ON,L4T 2T9,188
Lunch Counter,TIMOTHYS (SQUARE ONE 725),100,CITY CENTRE,DR,,KIOS,K-02,MISSISSAUGA,ON,L5B 2C9,189
Lunch Counter,TODO RICO BAKERY,900,RATHBURN,RD,W,UNIT,B6,MISSISSAUGA,ON,L5C 4L3,190
Lunch Counter,TOWN & COUNTRY MARKET,4033,HURONTARIO,ST,,UNITS,2-4,MISSISSAUGA,ON,L4Z 0B7,191
Lunch Counter,TRIOS FOODSERVICE / ST FRANCIS XAVIER,50,BRISTOL,RD,W,,,MISSISSAUGA,ON,L5R3K3,192
Lunch Counter,TRIOS FOODSERVICE / ST. ALOYSIUS GONZAGA SS,2800,ERIN CENTRE,BLVD,,,,MISSISSAUGA,ON,L5M 6R5,193
Lunch Counter,TRUSCOTT ITALIAN BAKERY & DELICATESSEN INC,2425,TRUSCOTT,DR,,Unit,28,MISSISSAUGA,ON,L5J 2B4,194
Lunch Counter,UPSIDE DOWN ALL IN ONE STOP,4060,CONFEDERATION,PKWY,,,,MISSISSAUGA,ON,L5B 0G4,195
Lunch Counter,VIC JOHNSTON COMMUNITY CENTRE,335,CHURCH,ST,,,,MISSISSAUGA,ON,,196
Lunch Counter,VIMEX CORNER,1400,AIMCO,BLVD,,UNIT,H428,MISSISSAUGA,ON,,197
Lunch Counter,VIVS CATERING COMPANY & EATERY,966,PANTERA,DR,,UNIT,9,MISSISSAUGA,ON,L4W 2S1,198
Lunch Counter,VIVIANS CAFE,2055,FLAVELLE,BLVD,,,,MISSISSAUGA,ON,L5K 1Z8,199
Lunch Counter,WALMART SUPERCENTRE,1500,DUNDAS,ST,E,,,MISSISSAUGA,ON,,200
Lunch Counter,WALMART SUPERCENTRE STORE #1137,7333,GOREWAY,DR,,,,MISSISSAUGA,ON,L4T 2T8,201
Lunch Counter,WATAN SUPERMARKET,6750,WINSTON CHURCHILL,BLVD,,Unit,4&5,MISSISSAUGA,ON,L5N 4C4,202
Lunch Counter,WENDYS HAMBURGERS,6301,SILVERDART,DR,,Unit,G202,MISSISSAUGA,ON,L5P 1B2,203
