COMPLEX ID,Character Area,Z-Area,Street Number,Street Name,Designation,Zoning,Complex Name,Site Area (ha),Site Area (acre),Total Parking,GFA Residential (m2),GFA Residential (ft2),GFA Retail (m2),GFA Retail (ft2),GFA Total (m2),GFA Total (ft2),Building Type,Tenure Residential,Townhouse Blocks,Storeys Total,Number Of Residential Units,Number Of Retail Units,Density (Unit/Ha),Density (Unit/Acre),FSI,OBJECTID
1070,Hurontario NHD,36W,455,Apache Crt,Medium Density,RM4-10,Highland Park Golf Community,3.77,9.315873,340,22599,243253.611400,0,0,22599,243253.611400,Townhouse,PCC,24,3,170,0,45,18,0.599443,321
1071,Hurontario NHD,36W,450,Bristol Rd E,Medium Density,RM4,,0.91,2.248659,74,4710,50698.018030,0,0,4710,50698.018030,Townhouse,PCC,4,2,32,0,35,14,0.517582,322
1072,Hurontario NHD,37W,5500,McLaughlin Rd,Medium Density,RM4-11,,0.23,0.568342,16,1501,16156.629530,0,0,1501,16156.629530,Townhouse,PCC,1,2,7,0,30,12,0.652609,323
1073,Streetsville NHD,39E,2350,Britannia Rd W,Medium Density,RM4,Sugarbush Homes,1.808,4.467665,166,8674,93366.158900,0,0,8674,93366.158900,Townhouse,PCC,12,3,72,0,40,16,0.479757,324
1077,Clarkson - Lorne Park NHD,10,1385,Lakeshore Rd W,Medium Density,RM4,Casgrain Developments,0.6953,1.718124,37,3486.500000,37528.373640,0,0,3486.500000,37528.373640,Townhouse,PCC,5,2,28,0,40,16,0.501438,325
1078,Clarkson - Lorne Park NHD,10,1015,Johnsons Ln,Medium Density,RM4,Casgrain Developments,0.32,0.790737,31,1583.180000,17041.207680,0,0,1583.180000,17041.207680,Townhouse,PCC,2,3,13,0,41,16,0.494744,326
1079,Uptown MN,36W,180190,Forum Dr,Medium Density,RM4-4,Uptown Classics,2.47,6.103503,246,13044.400000,140408.753000,0,0,13044.400000,140408.753000,Townhouse,PCC,14,3,106,0,43,17,0.528113,327
1080,Lakeview NHD,6,1132-1182,Upper Village Dr,High Density,RM9-2,The West Village,0.5982,1.478184,56,3086.600000,33223.885870,0,0,3086.600000,33223.885870,Townhouse,PCC,3,2,24,0,40,16,0.515981,328
1081,Lisgar NHD,56,"3215,3217,3219/3221,3223,3225",Coralbean Pl/Fanleaf Dr,Low Density II,RM5,,0.17,0.420079,,1044,11237.522470,0,0,1044,11237.522470,Townhouse,Freehold,2,2,6,0,35,14,0.614118,329
1083,Lisgar NHD,56,6026-6127,Clover Ridge Cres,Low Density II,RM5-12,,0.08,0.197684,,454,4886.815326,0,0,454,4886.815326,Townhouse,Freehold,2,2,6,0,75,30,0.567500,330
