lat,lon
43.6029313,-79.6906275
43.5820121,-79.558597
43.5627961,-79.6880931
43.600417,-79.6724878
43.6082665,-79.6152925
43.5975371,-79.6751186
43.7136273,-79.6514386
43.5169635,-79.6310863
43.6012363,-79.7142209
43.619363,-79.6603851
43.5946393,-79.7809884
43.5726557,-79.7284197
43.5996357,-79.6345956
43.6009399,-79.6521403
43.5787134,-79.7247388
43.7308295,-79.6321391
43.5868289,-79.7085232
43.5848105,-79.7001951
43.6118962,-79.7417401
43.7022462,-79.6460878
43.5833034,-79.6966884
43.7213809,-79.6454737
43.7006853,-79.6509123
43.5387787,-79.7040524
43.5876853,-79.6795031
43.5880093,-79.6814322
43.5781899,-79.6902881
43.7221598,-79.6231897
43.7196628,-79.6477544
43.7095822,-79.6493334
43.5230871,-79.6917786
43.5229378,-79.6966884
43.5273673,-79.7061564
43.6212725,-79.6617884
43.5622832,-79.625822
43.6018406,-79.6245936
43.7295989,-79.6373153
43.7272588,-79.6384557
43.5307271,-79.6907265
43.7219012,-79.6349465
43.605619,-79.7068576
43.609417,-79.7061564
43.5879763,-79.7466471
43.5466139,-79.7215835
43.5848415,-79.6539823
43.5431238,-79.735606
43.6077247,-79.7087862
43.568919,-79.6268749
43.5957193,-79.6861672
43.5481046,-79.7380596
43.5343894,-79.7114159
43.6034663,-79.6212594
43.6016007,-79.7043154
43.5847852,-79.667226
43.6082765,-79.660122
43.6077121,-79.6612622
43.5863493,-79.6631917
43.7160386,-79.6356484
43.5623486,-79.7541823
43.5895906,-79.6612622
43.5895906,-79.6612622
43.5948557,-79.6668752
43.600417,-79.6724878
43.5758066,-79.6608236
43.7109041,-79.647579
43.5330216,-79.6963377
43.5574015,-79.6987048
43.6023784,-79.6679276
43.5937325,-79.7076466
43.6132006,-79.6148538
43.6101338,-79.6625777
43.5898379,-79.7763461
43.6033914,-79.6309985
43.58,-79.6440702
43.5797668,-79.6447719
43.6063829,-79.7054551
43.6001218,-79.6496842
43.711461,-79.6358238
43.5495737,-79.7510281
43.5681432,-79.7508528
43.7171432,-79.6282787
43.6110506,-79.6359993
43.5559045,-79.650386
43.6172356,-79.617574
43.5665108,-79.7459461
43.5823258,-79.6329287
43.5256157,-79.6966884
43.6142118,-79.7033511
43.7078462,-79.6457369
43.5683232,-79.6724878
43.5907766,-79.5865058
43.5616111,-79.6640687
43.7262259,-79.6433684
43.7105034,-79.6496842
43.7107038,-79.6486316
43.6140473,-79.6501228
43.5784936,-79.6275768
43.5549582,-79.7431421
43.7176483,-79.6500351
43.5658139,-79.7382349
43.5620069,-79.7569859
43.5714602,-79.5727235
43.7131471,-79.6461755
43.5288725,-79.7104517
43.5857362,-79.7046661
43.7301176,-79.6405612
43.5745771,-79.6791524
43.7215244,-79.6535437
43.5075205,-79.6596834
43.5115738,-79.6535437
43.6012092,-79.661613
43.7141405,-79.6440702
43.5652818,-79.5742159
43.5984945,-79.7052797
43.608609,-79.6809061
43.6120714,-79.6545085
43.5791962,-79.559905
43.5853075,-79.6582801
43.502879,-79.652842
43.5839857,-79.6356484
43.5769179,-79.6591572
43.5847852,-79.667226
43.5811185,-79.6677522
43.7189421,-79.6463509
43.5816782,-79.6788016
43.580518,-79.7143086
43.5665713,-79.7556717
43.5897509,-79.6940582
43.5683413,-79.6205574
43.6203404,-79.6645949
43.6180503,-79.6216104
43.5294204,-79.6861672
43.5988997,-79.672137
43.7221449,-79.629507
43.7284681,-79.6419648
43.7284681,-79.6419648
43.590592,-79.6575784
