BUSINESSTYPE,BUSINESSNAME,STREETNUMBER,STREET,STREETTYPE,STREETDIR,UNITTYPE,UNITY,CITY,PROV,POSTAL,OBJECTID,lon,lat
Lunch Counter,ARAMARK / STEPHEN LEWIS SS,3675,THOMAS,ST,,,,MISSISSAUGA,ON,L5M 1E6,41,-79.7219341,43.5811345
Lunch Counter,ARAMARK / STREETSVILLE SS,72,JOYMAR,DR,,,,MISSISSAUGA,ON,,42,NA,NA
Lunch Counter,ARAMARK / T L KENNEDY SS,3100,HURONTARIO,ST,,,,MISSISSAUGA,ON,L5B1N7,43,-79.6210839,43.580723
Lunch Counter,ARAMARK / THE WOODLANDS SS,3225,ERINDALE STATION,RD,,,,MISSISSAUGA,ON,L5C1Y5,44,-79.6477544,43.5617592
Lunch Counter,ATLANTIC BAKERY,4025,BRANDON GATE,DR,,Unit,D,MISSISSAUGA,ON,L4T 3Z9,45,-79.6349465,43.7325673
Lunch Counter,AVO CONVENIENCE,1,GLENN HAWTHORNE,BLVD,,UNIT,2,MISSISSAUGA,ON,L5R 0C2,46,-79.6619199,43.6133037
Lunch Counter,BACK NINE HD GOLF INC,7170,WEST CREDIT,AVE,,Unit,1,MISSISSAUGA,ON,L5N 7E5,47,-79.7566354,43.6083401
Lunch Counter,BASKIN ROBBINS,6040,GLEN ERIN,DR,,,3,MISSISSAUGA,ON,L5N3M4,48,-79.739637,43.5748593
Lunch Counter,BASKIN-ROBBINS ICE CREAM,4099,ERIN MILLS,PKWY,,Unit,3,MISSISSAUGA,ON,L5L 3P9,49,-79.6884469,43.5511919
Lunch Counter,BIG SLICK BAR AND LOUNGE,1965,BRITANNIA,RD,W,Unit,B2-B3,MISSISSAUGA,ON,L5M4Y4,50,-79.7220218,43.5890922
Lunch Counter,BO BO CHI,1400,AIMCO,BLVD,,Unit,H435,MISSISSAUGA,ON,L4W1E1,51,NA,NA
Lunch Counter,BOLLYWOOD UNLIMITED,512,BRISTOL,RD,W,UNIT,2,MISSISSAUGA,ON,,52,NA,NA
Lunch Counter,BURNHAMTHORPE FRUIT MARKET,3647,DIXIE,RD,,,,MISSISSAUGA,ON,L4Y2B3,53,-79.5986184,43.6202502
Lunch Counter,CARIBBEAN SENSATION,1400,AIMCO,BLVD,,UNIT,Z436,MISSISSAUGA,ON,L5W 1E1,54,-79.717727,43.6288786
Lunch Counter,CAROUSEL FOODS,4141,DIXIE,RD,,Unit,46,MISSISSAUGA,ON,L4W1V5,55,-79.6045863,43.6252506
Lunch Counter,CENTRAL BILLIARDS AND COFFEE SHOP,128,QUEEN,ST,S,UNIT,2 BASEMENT,MISSISSAUGA,ON,L5M 1K8,56,-79.7164999,43.5828713
Lunch Counter,CENTRE BOWL,4300,CAWTHRA,RD,,,,MISSISSAUGA,ON,L4Z 1V8,57,-79.6266994,43.613319
Lunch Counter,CHIBUGAN EH!,1400,AIMCO,BLVD,,UNIT,H427,MISSISSAUGA,ON,,58,NA,NA
Lunch Counter,CHIPOTLE MEXICAN GRILL,100,CITY CENTRE,DR,,Unit,FCU-3,MISSISSAUGA,ON,L5B 2C9,59,-79.6424911,43.5930784
Lunch Counter,CHUTNEY SWAMY INC,2911,EGLINTON,AVE,W,Unit,2,MISSISSAUGA,ON,L5M 6J3,60,-79.715448,43.5533444
Lunch Counter,CINEPLEX CINEMAS MISSISSAUGA,309,RATHBURN,RD,W,,,MISSISSAUGA,ON,L5B4C1,61,-79.6481053,43.594779
Lunch Counter,CINEPLEX ODEON COURTNEY PARK,110,COURTNEYPARK,DR,E,,,MISSISSAUGA,ON,L5T 2Y3,62,-79.6902004,43.636624
Lunch Counter,CINNABON WORLD FAMOUS CINNAMON ROLLS,100,CITY CENTRE,DR,,Unit,1-143B,MISSISSAUGA,ON,L5B 2C9,63,-79.6424911,43.5930784
Lunch Counter,CINNABON WORLD FAMOUS CINNAMON ROLLS,1250,SOUTH SERVICE,RD,,Unit,143,MISSISSAUGA,ON,L5E 1V4,64,-79.5691239,43.5943785
