COMPLEX.ID,Character.Area,Z.Area,Street.Number,Street.Name,Designation,Zoning,Complex.Name,Site.Area..ha.,Site.Area..acre.,Total.Parking,GFA.Residential..m2.,GFA.Residential..ft2.,GFA.Retail..m2.,GFA.Retail..ft2.,GFA.Total..m2.,GFA.Total..ft2.,Building.Type,Tenure.Residential,Townhouse.Blocks,Storeys.Total,Number.Of.Residential.Units,Number.Of.Retail.Units,Density..Unit.Ha.,Density..Unit.Acre.,FSI,OBJECTID,address,lon,lat
195,Applewood NHD,19,1856-1914,Kirkwall Cres,Medium Density,RM4,Kirkwall Townhouses,0.84,2.075685,38,NA,NA,0,0,NA,NA,Townhouse,PCC,3,2,30,0,36,14,NA,79,1856-1914 Kirkwall Cres,-79.584662,43.623847
196,Applewood NHD,19,3255-3297,Fieldgate Dr,Medium Density,RM4,Fieldgate Townhouses,0.63,1.556764,40,NA,NA,0,0,NA,NA,Townhouse,PCC,2,2,20,0,32,13,NA,80,3255-3297 Fieldgate Dr,-79.585018,43.62149
197,Applewood NHD,20,3665,Flamewood Dr,Medium Density,RM4,Applewood Hamlet,1.94,4.793844,87,NA,NA,0,0,NA,NA,Townhouse,PCC,3,2,67,0,35,14,NA,81,3665 Flamewood Dr,-79.612194,43.61289
198,Rathwood-Applewood CN,19,1415/1485,Gulleden Dr,Medium Density,RM4,,3.03,7.487293,259,11950,128628.7294,0,0,11950,128628.7294,Townhouse,PCC,11,3,115,0,38,15,0.394389,82,1415/1485 Gulleden Dr,-79.59981,43.623299
200,Applewood NHD,20,1221,Dundix Rd,Medium Density,RM4,,5.73,14.159138,399,16818,181027.4453,0,0,16818,181027.4453,Townhouse,PCC,14,3,177,0,31,13,0.293508,83,1221 Dundix Rd,-79.590455,43.607765
201,Applewood NHD,20,750,Burnhamthorpe Rd E,Medium Density,RM4,,1.23,3.039396,86,4923,52990.73095,0,0,4923,52990.73095,Townhouse,PCC,6,2,38,0,31,13,0.400244,84,750 Burnhamthorpe Rd E,-79.616807,43.608922
202,Applewood NHD,20,2982-3020,Rymal Rd,Medium Density,RM5,Rymal Road Townhouses,0.4,0.988422,36,NA,NA,0,0,NA,NA,Townhouse,Freehold,3,2,18,0,45,18,NA,85,2982-3020 Rymal Rd,-79.5984049,43.5997162
205,Applewood NHD,20,3055-3083/847-879,Haines Rd/Riley Crt,Medium Density,RM5,,0.75,1.85329,NA,NA,NA,0,0,NA,NA,Townhouse,Freehold,4,2,30,0,40,16,NA,86,3055-3083/847-879 Haines Rd/Riley Crt,-135.417062,59.2216778
207,East Credit NHD,30,1111-1151,Eglinton Ave W,Medium Density,RM5,Roseborough Townhouses,0.71,1.754448,42,2900,31215.34019,0,0,2900,31215.34019,Townhouse,Freehold,3,2,21,0,30,12,0.408451,87,1111-1151 Eglinton Ave W,-79.6265978,43.6310165
208,Applewood NHD,20,118012001230,Gripsholm Rd,Medium Density,RM4,Gripsholm Townhouses,1.598,3.948744,96,5567,59922.68925,0,0,5567,59922.68925,Townhouse,PCC,3,2,57,0,36,14,0.348373,88,118012001230 Gripsholm Rd,-79.5927153,43.6085601
210,East Credit NHD,37W,5201-5299,Fairford Cres,Medium Density,RM5,,1.5112,3.734257,130,9180.92,98822.60036,0,0,9180.92,98822.60036,Townhouse,Freehold,10,2,63,0,42,17,0.607525,89,5201-5299 Fairford Cres,-79.6799509,43.5954396
211,Applewood NHD,19,332033403360,Ponytrail Dr,Medium Density,RM4,Russet Homes Co-op,2.4,5.930529,80,NA,NA,0,0,NA,NA,Townhouse,COOP-FED,3,2,78,0,32,13,NA,90,332033403360 Ponytrail Dr,-79.5887811,43.6318704
